sequence,gt_id,event_frame,start_frame,end_frame,event_type,candidate_score,sam2_window_mean_iou,samurai_window_mean_iou,stateful_window_mean_iou,sam2_window_coverage50,samurai_window_coverage50,stateful_window_coverage50,stateful_delta_vs_sam2,stateful_delta_vs_samurai,stateful_coverage_gain_vs_sam2,stateful_true_state_rate,stateful_max_miss_count,stateful_fallback_modes,reason,sam2_output,samurai_output,stateful_output,stateful_debug,gt_path,checkpoint,provenance_status
dancetrack0034,0,501,499,504,strong_stateful_improvement,0.9480797890672219,0.0,0.0,0.980132981778703,0.0,0.0,1.0,0.980132981778703,0.980132981778703,1.0,0.9285714285714285,1,,stateful mean IoU 0.980 vs SAM2 0.000; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.000,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0034_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0034/gt/gt.txt,epoch100.pth,verified_stateful_manifest
dancetrack0019,1,507,505,510,strong_stateful_improvement,0.9478042249166334,0.0,0.0,0.979673708194389,0.0,0.0,1.0,0.979673708194389,0.979673708194389,1.0,1.0,0,,stateful mean IoU 0.980 vs SAM2 0.000; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.000,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0019.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0019.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0019.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0019_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0019/gt/gt.txt,epoch100.pth,verified_stateful_manifest
dancetrack0034,13,595,593,598,strong_stateful_improvement,0.9477434885729143,0.0,0.0,0.9795724809548573,0.0,0.0,1.0,0.9795724809548573,0.9795724809548573,1.0,0.9285714285714285,1,,stateful mean IoU 0.980 vs SAM2 0.000; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.000,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0034_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0034/gt/gt.txt,epoch100.pth,verified_stateful_manifest
dancetrack0004,1,908,906,911,strong_stateful_improvement,0.9476197671572735,0.0,0.0,0.9793662785954557,0.0,0.0,1.0,0.9793662785954557,0.9793662785954557,1.0,1.0,0,,stateful mean IoU 0.979 vs SAM2 0.000; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.000,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0004.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0004.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0004.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0004_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0004/gt/gt.txt,epoch100.pth,verified_stateful_manifest
dancetrack0034,7,863,861,866,strong_stateful_improvement,0.9475710491137128,0.0,0.46884947877406863,0.9792850818561879,0.0,0.0,1.0,0.9792850818561879,0.5104356030821193,1.0,0.9285714285714285,1,,stateful mean IoU 0.979 vs SAM2 0.000; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.469,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0034_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0034/gt/gt.txt,epoch100.pth,verified_stateful_manifest
dancetrack0007,6,587,585,590,strong_stateful_improvement,0.9475589430036118,0.0,0.0,0.9792649050060196,0.0,0.0,1.0,0.9792649050060196,0.9792649050060196,1.0,1.0,0,,stateful mean IoU 0.979 vs SAM2 0.000; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.000,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0007.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0007.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0007.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0007_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0007/gt/gt.txt,epoch100.pth,verified_stateful_manifest
dancetrack0019,0,1482,1480,1485,strong_stateful_improvement,0.9475144182333284,0.0035556589795363498,0.00354207239405328,0.9833389658650065,0.0,0.0,1.0,0.9797833068854701,0.9797968934709532,1.0,1.0,0,,stateful mean IoU 0.983 vs SAM2 0.004; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.004,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0019.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0019.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0019.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0019_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0019/gt/gt.txt,epoch100.pth,verified_stateful_manifest
dancetrack0034,13,799,797,802,strong_stateful_improvement,0.947489151988042,0.0,0.9796002893253165,0.9791485866467365,0.0,1.0,1.0,0.9791485866467365,-0.00045170267857996826,1.0,1.0,0,,stateful mean IoU 0.979 vs SAM2 0.000; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.980,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0034_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0034/gt/gt.txt,epoch100.pth,verified_stateful_manifest
dancetrack0004,1,967,965,970,strong_stateful_improvement,0.9468895935215751,0.0,0.0,0.9781493225359584,0.0,0.0,1.0,0.9781493225359584,0.9781493225359584,1.0,1.0,0,,stateful mean IoU 0.978 vs SAM2 0.000; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.000,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0004.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0004.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0004.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0004_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0004/gt/gt.txt,epoch100.pth,verified_stateful_manifest
dancetrack0034,7,879,877,882,strong_stateful_improvement,0.946408769404788,0.0,0.13262934058155326,0.9773479490079802,0.0,0.0,1.0,0.9773479490079802,0.8447186084264269,1.0,0.8690476190476191,1,,stateful mean IoU 0.977 vs SAM2 0.000; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.133,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0034_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0034/gt/gt.txt,epoch100.pth,verified_stateful_manifest
dancetrack0047,4,1192,1190,1195,strong_stateful_improvement,0.946336575809983,0.006854957759583812,0.002592757847247831,0.9852250770694863,0.0,0.0,1.0,0.9783701193099025,0.9826323192222384,1.0,1.0,0,,stateful mean IoU 0.985 vs SAM2 0.007; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.003,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0047.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0047.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0047.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0047_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0047/gt/gt.txt,epoch100.pth,verified_stateful_manifest
dancetrack0034,9,350,348,353,strong_stateful_improvement,0.9462553371339277,0.002177089471743498,0.6068134393946619,0.9796321662735804,0.0,0.3333333333333333,1.0,0.977455076801837,0.3728187268789185,1.0,1.0,0,,stateful mean IoU 0.980 vs SAM2 0.002; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.607,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0034.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0034_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0034/gt/gt.txt,epoch100.pth,verified_stateful_manifest
dancetrack0019,1,416,414,419,strong_stateful_improvement,0.9459329954157127,0.0,0.0,0.976554992359521,0.0,0.0,1.0,0.976554992359521,0.976554992359521,1.0,1.0,0,,stateful mean IoU 0.977 vs SAM2 0.000; coverage@0.5 1.000 vs 0.000; SAMURAI mean IoU 0.000,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2/sam2_tiny/dancetrack0019.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/samurai/samurai_tiny/dancetrack0019.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0019.txt,/mnt/HDD10TB-2/aburatani/2025_03_aburatani_sam2/results/sam2_stateful_minimal/20260723T_sam2_minimal_25seq/samurai_mamba_stateful_tiny/dancetrack0019_candidate_debug.csv,/mnt/HDD10TB-2/aburatani/TrackEval/data/gt/dancetrack/val/dancetrack0019/gt/gt.txt,epoch100.pth,verified_stateful_manifest
